City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Tondano,ID,1.3038,124.9112,82.49,62,14,2.71,few clouds
296,Dikson,RU,73.5069,80.5464,32.34,85,100,23.09,overcast clouds
297,Avarua,CK,-21.2078,-159.775,80.65,69,20,12.66,few clouds
298,Panjab,AF,34.388,67.0233,48.47,45,3,3.67,clear sky
299,Vanimo,PG,-2.6741,141.3028,82.4,78,100,1.52,overcast clouds
300,Lompoc,US,34.6391,-120.4579,87.08,58,1,8.05,clear sky
301,Kawalu,ID,-7.3817,108.2082,76.41,82,78,4.79,broken clouds
302,Carnarvon,AU,-24.8667,113.6333,75.27,73,90,14.97,overcast clouds
303,Romitan,UZ,39.9343,64.3814,51.75,43,0,16.11,clear sky
304,Ambon,ID,-3.6954,128.1814,82.54,89,40,3.44,scattered clouds
305,Banda Aceh,ID,5.5577,95.3222,78.3,82,100,7.43,light rain
306,Kaura Namoda,NG,12.5898,6.5779,78.4,65,53,6.51,broken clouds
307,Chiredzi,ZW,-21.05,31.6667,66.88,73,11,6.98,few clouds
308,Cidreira,BR,-30.1811,-50.2056,63.61,92,100,27.18,heavy intensity rain
309,Touros,BR,-5.1989,-35.4608,77.9,82,21,14.88,few clouds
310,Tilichiki,RU,60.4667,166.1,36.39,32,19,6.2,few clouds
311,Vizinga,RU,61.0749,50.1031,44.02,96,100,3.4,overcast clouds
312,Basco,PH,20.4487,121.9702,83.43,77,96,5.7,overcast clouds
313,College,US,64.8569,-147.8028,39.58,65,75,4.61,broken clouds
314,Elizabeth City,US,36.2946,-76.2511,68.02,84,1,5.75,clear sky
315,Linxia,CN,35.6003,103.2064,59.36,44,0,1.95,clear sky
316,Angoram,PG,-4.0625,144.0661,80.85,89,100,0.92,light rain
317,Clyde River,CA,70.4692,-68.5914,33.31,74,100,6.69,overcast clouds
318,Chenzhou,CN,25.8,113.0333,85.86,50,0,0.49,clear sky
319,Mezhdurechenskiy,RU,59.6,65.9333,35.29,79,100,10.45,overcast clouds
320,Khairagarh,IN,26.95,77.8167,80.82,76,81,5.17,broken clouds
321,Conde,BR,-7.2597,-34.9075,74.66,100,20,5.75,few clouds
322,Anadyr,RU,64.75,177.4833,30.7,68,0,8.01,clear sky
323,Wamba,NG,8.9333,8.6,71.91,93,100,2.93,light rain
324,Voljevac,BA,43.8786,17.6592,50.45,97,78,3.8,broken clouds
325,Erzin,TR,36.9559,36.2,68.72,82,4,1.41,clear sky
